cycle,party,candidate,ran,early_poll_rank,sitting_governor,former_governor,sitting_vp,prior_nominee,prior_run,won_nomination,won_general,notes
2016,D,Bernie Sanders,1,2,0,0,0,0,0,0,0,
2016,D,Martin O'Malley,1,3,0,1,0,0,0,0,0,former MD governor
2016,D,Jim Webb,1,4,0,0,0,0,0,0,0,
2016,D,Lincoln Chafee,1,5,0,1,0,0,0,0,0,former RI governor
2016,R,Jeb Bush,1,1,0,1,0,0,0,0,0,early poll/money leader; collapsed
2016,R,Scott Walker,1,2,1,0,0,0,0,0,0,sitting WI governor; top-2 early; collapsed
2016,R,Marco Rubio,1,3,0,0,0,0,0,0,0,
2016,R,Rand Paul,1,4,0,0,0,0,0,0,0,
2016,R,Ben Carson,1,5,0,0,0,0,0,0,0,
2016,R,Mike Huckabee,1,6,0,1,0,0,1,0,0,
2016,R,Ted Cruz,1,7,0,0,0,0,0,0,0,
2016,R,Chris Christie,1,8,1,0,0,0,0,0,0,sitting NJ governor
2016,R,Donald Trump,1,9,0,0,0,0,0,1,1,not in early-2015 polls; led after June 2015 entry
2016,R,John Kasich,1,10,1,0,0,0,1,0,0,sitting OH governor
2020,D,Joe Biden,1,1,0,0,0,0,1,1,1,former VP; front-runner who converted
2020,D,Bernie Sanders,1,2,0,0,0,0,1,0,0,
2020,D,Elizabeth Warren,1,3,0,0,0,0,0,0,0,
2020,D,Kamala Harris,1,4,0,0,0,0,0,0,0,
2020,D,Beto O'Rourke,1,5,0,0,0,0,0,0,0,
2020,D,Cory Booker,1,6,0,0,0,0,0,0,0,
2020,D,Amy Klobuchar,1,7,0,0,0,0,0,0,0,
2020,D,Pete Buttigieg,1,8,0,0,0,0,0,0,0,
2020,D,Jay Inslee,1,9,1,0,0,0,0,0,0,sitting WA governor
2020,D,John Hickenlooper,1,10,0,1,0,0,0,0,0,former CO governor
2020,D,Steve Bullock,1,11,1,0,0,0,0,0,0,sitting MT governor
2024,R,Donald Trump,1,1,0,0,0,1,1,1,1,prior nominee/president; quasi-incumbent - flagged in sensitivity analysis
2024,R,Ron DeSantis,1,2,1,0,0,0,0,0,0,sitting FL governor; top-2 early; collapsed
2024,R,Mike Pence,1,3,0,0,0,0,0,0,0,former VP
2024,R,Nikki Haley,1,4,0,1,0,0,0,0,0,former SC governor
2024,R,Tim Scott,1,5,0,0,0,0,0,0,0,
2024,R,Chris Christie,1,6,0,1,0,0,1,0,0,
2024,R,Vivek Ramaswamy,1,7,0,0,0,0,0,0,0,
2024,R,Doug Burgum,1,8,1,0,0,0,0,0,0,sitting ND governor
2024,R,Asa Hutchinson,1,9,0,1,0,0,0,0,0,former AR governor
